benchmark,model,method,n_pieces,ValidityRate,bias_metric,bias
BTM-2025,codegen350M,baseline,1670,0.6946,CodeLevelProtectedUsageRate,0.2948
BTM-2025,codegen350M,postgenast,1670,0.6132,CodeLevelProtectedUsageRate,0.0
BTM-2025,codegen350M,promptmit_v1,1670,0.7186,CodeLevelProtectedUsageRate,0.2925
BTM-2025,codegen350M,promptmit_v2,1670,0.4449,CodeLevelProtectedUsageRate,0.3486
BTM-2025,deepseek1.3b,baseline,1670,0.4677,CodeLevelProtectedUsageRate,0.1869
BTM-2025,deepseek1.3b,postgenast,1670,0.4473,CodeLevelProtectedUsageRate,0.0
BTM-2025,deepseek1.3b,promptmit_v1,1670,0.4695,CodeLevelProtectedUsageRate,0.1875
BTM-2025,deepseek1.3b,promptmit_v2,1670,0.2754,CodeLevelProtectedUsageRate,0.1739
BTM-2025,qwen1.5b,baseline,1670,0.4395,CodeLevelProtectedUsageRate,0.2275
BTM-2025,qwen1.5b,postgenast,1670,0.4389,CodeLevelProtectedUsageRate,0.0
BTM-2025,qwen1.5b,promptmit_v1,1670,0.4395,CodeLevelProtectedUsageRate,0.2275
BTM-2025,qwen1.5b,promptmit_v2,1670,0.4263,CodeLevelProtectedUsageRate,0.2219
BU-2024,codegen350M,baseline,7497,0.8806,CodeBiasScore,0.8192
BU-2024,codegen350M,postgenast,7497,0.8806,CodeBiasScore,0.8192
BU-2024,codegen350M,promptmit_v1,7497,0.8277,CodeBiasScore,0.8766
BU-2024,codegen350M,promptmit_v2,7497,0.924,CodeBiasScore,0.758
BU-2024,deepseek1.3b,baseline,7497,0.2389,CodeBiasScore,0.5086
BU-2024,deepseek1.3b,postgenast,7497,0.2316,CodeBiasScore,0.4692
BU-2024,deepseek1.3b,promptmit_v1,7497,0.4083,CodeBiasScore,0.3601
BU-2024,deepseek1.3b,promptmit_v2,7497,0.1793,CodeBiasScore,0.4415
BU-2024,qwen1.5b,baseline,7497,0.8785,CodeBiasScore,0.8212
BU-2024,qwen1.5b,postgenast,7497,0.8781,CodeBiasScore,0.8212
BU-2024,qwen1.5b,promptmit_v1,7497,0.5752,CodeBiasScore,0.8502
BU-2024,qwen1.5b,promptmit_v2,7497,0.8158,CodeBiasScore,0.8735
IMSB-2025,codegen350M,baseline,2649,0.1268,BiasKnowledgeRate,0.0595
IMSB-2025,codegen350M,postgenast,2649,0.1219,BiasKnowledgeRate,0.0
IMSB-2025,codegen350M,promptmit_v1,2649,0.1268,BiasKnowledgeRate,0.0298
IMSB-2025,codegen350M,promptmit_v2,2649,0.0797,BiasKnowledgeRate,0.0284
IMSB-2025,deepseek1.3b,baseline,2649,0.6146,BiasKnowledgeRate,0.2715
IMSB-2025,deepseek1.3b,postgenast,2649,0.5674,BiasKnowledgeRate,0.0
IMSB-2025,deepseek1.3b,promptmit_v1,2649,0.8388,BiasKnowledgeRate,0.2601
IMSB-2025,deepseek1.3b,promptmit_v2,2649,0.3481,BiasKnowledgeRate,0.3492
IMSB-2025,qwen1.5b,baseline,2649,0.1015,BiasKnowledgeRate,0.145
IMSB-2025,qwen1.5b,postgenast,2649,0.0989,BiasKnowledgeRate,0.0
IMSB-2025,qwen1.5b,promptmit_v1,2649,0.2446,BiasKnowledgeRate,0.2114
IMSB-2025,qwen1.5b,promptmit_v2,2649,0.4032,BiasKnowledgeRate,0.1826
SEB-2023,codegen350M,baseline,13656,0.4001,PerturbationBiasRate,0.6326
SEB-2023,codegen350M,postgenast,13656,0.4001,PerturbationBiasRate,0.6326
SEB-2023,codegen350M,promptmit_v1,13656,0.4593,PerturbationBiasRate,0.6287
SEB-2023,codegen350M,promptmit_v2,13656,0.5723,PerturbationBiasRate,0.6654
SEB-2023,deepseek1.3b,baseline,13656,0.8223,PerturbationBiasRate,0.57
SEB-2023,deepseek1.3b,postgenast,13656,0.8213,PerturbationBiasRate,0.568
SEB-2023,deepseek1.3b,promptmit_v1,13656,0.8291,PerturbationBiasRate,0.5182
SEB-2023,deepseek1.3b,promptmit_v2,13656,0.8312,PerturbationBiasRate,0.5489
SEB-2023,qwen1.5b,baseline,13656,0.7067,PerturbationBiasRate,0.6147
SEB-2023,qwen1.5b,postgenast,13656,0.7066,PerturbationBiasRate,0.6144
SEB-2023,qwen1.5b,promptmit_v1,13656,0.6499,PerturbationBiasRate,0.6037
SEB-2023,qwen1.5b,promptmit_v2,13656,0.7136,PerturbationBiasRate,0.6079
UQSB-2023,codegen350M,baseline,1176,0.9991,ContextBiasRate,0.6077
UQSB-2023,codegen350M,postgenast,1176,0.9991,ContextBiasRate,0.0179
UQSB-2023,codegen350M,promptmit_v1,1176,0.9983,ContextBiasRate,0.592
UQSB-2023,codegen350M,promptmit_v2,1176,0.9991,ContextBiasRate,0.5668
UQSB-2023,deepseek1.3b,baseline,1176,0.8325,ContextBiasRate,0.0858
UQSB-2023,deepseek1.3b,postgenast,1176,0.8325,ContextBiasRate,0.0838
UQSB-2023,deepseek1.3b,promptmit_v1,1176,0.7942,ContextBiasRate,0.0857
UQSB-2023,deepseek1.3b,promptmit_v2,1176,0.5468,ContextBiasRate,0.1711
UQSB-2023,qwen1.5b,baseline,1176,1.0,ContextBiasRate,0.3316
UQSB-2023,qwen1.5b,postgenast,1176,1.0,ContextBiasRate,0.2704
UQSB-2023,qwen1.5b,promptmit_v1,1176,0.9838,ContextBiasRate,0.3915
UQSB-2023,qwen1.5b,promptmit_v2,1176,1.0,ContextBiasRate,0.5629
